Date,Price,Open,High,Low,Vol.,Change %,Volume
3/8/2021,"2,326.41","2,193.95","2,326.41","2,189.89",0.82K,6.04%,820
3/7/2021,"2,193.95","2,094.08","2,193.95","2,094.08",0.60K,4.77%,600
3/6/2021,"2,094.08","1,942.54","2,094.08","1,942.54",0.35K,7.80%,350
3/5/2021,"1,942.54","1,956.06","1,958.62","1,882.56",0.41K,-0.69%,410
3/4/2021,"1,956.06","1,999.00","2,007.19","1,956.06",0.64K,-2.15%,640
3/3/2021,"1,999.00","1,891.50","2,036.87","1,891.50",0.87K,5.68%,870
3/2/2021,"1,891.50","1,995.00","1,995.00","1,891.50",0.64K,-5.19%,640
3/1/2021,"1,995.00","1,811.52","1,995.00","1,811.52",0.94K,10.13%,940
2/28/2021,"1,811.52","1,871.30","1,871.30","1,735.94",1.39K,-3.19%,1390
2/27/2021,"1,871.30","1,849.91","1,941.39","1,849.91",0.56K,1.16%,560
2/26/2021,"1,849.91","1,854.54","1,954.29","1,849.91",1.05K,-0.25%,1050
2/25/2021,"1,854.54","2,033.61","2,033.61","1,854.54",0.73K,-8.81%,730
2/24/2021,"2,033.61","1,985.04","2,159.99","1,985.04",1.67K,2.45%,1670
2/23/2021,"1,985.04","2,247.82","2,247.82","1,888.00",2.74K,-11.69%,2740
2/22/2021,"2,247.82","2,438.79","2,438.79","2,247.82",2.56K,-7.83%,2560
2/21/2021,"2,438.79","2,430.94","2,456.89","2,430.94",0.64K,0.32%,640
2/20/2021,"2,430.94","2,479.88","2,551.10","2,430.94",1.81K,-1.97%,1810
2/19/2021,"2,479.88","2,447.72","2,479.88","2,433.06",0.97K,1.31%,970
2/18/2021,"2,447.72","2,341.06","2,470.00","2,341.06",0.80K,4.56%,800
2/17/2021,"2,341.06","2,267.79","2,341.06","2,245.82",0.61K,3.23%,610
2/16/2021,"2,267.79","2,255.87","2,284.61","2,255.87",0.51K,0.53%,510
2/15/2021,"2,255.87","2,301.19","2,301.19","2,255.87",0.91K,-1.97%,910
2/14/2021,"2,301.19","2,322.44","2,344.99","2,301.19",0.55K,-0.91%,550
2/13/2021,"2,322.44","2,339.30","2,369.59","2,295.09",0.82K,-0.72%,820
2/12/2021,"2,339.30","2,267.78","2,339.30","2,265.44",1.23K,3.15%,1230
2/11/2021,"2,267.78","2,223.13","2,267.78","2,200.19",0.79K,2.01%,790
2/10/2021,"2,223.13","2,246.68","2,262.05","2,192.30",1.33K,-1.07%,1330
2/9/2021,"2,247.08","2,219.99","2,247.08","2,209.89",1.22K,1.22%,1220
2/8/2021,"2,219.99","2,072.01","2,219.99","2,024.99",1.41K,7.14%,1410
2/7/2021,"2,072.01","2,148.70","2,148.70","2,010.36",1.17K,-3.69%,1170
2/6/2021,"2,151.41","2,201.10","2,201.10","2,143.14",0.90K,-2.26%,900
2/5/2021,"2,201.10","2,051.45","2,228.88","2,051.45",1.06K,7.29%,1060
2/4/2021,"2,051.45","2,119.66","2,119.66","2,010.00",1.23K,-3.22%,1230
2/3/2021,"2,119.66","1,930.26","2,119.66","1,930.26",3.16K,9.81%,3160
2/2/2021,"1,930.26","1,760.07","1,930.26","1,760.07",2.30K,9.67%,2300
2/1/2021,"1,760.07","1,692.07","1,760.07","1,692.07",0.84K,4.02%,840
1/31/2021,"1,692.07","1,772.90","1,772.90","1,689.07",0.79K,-4.56%,790
1/30/2021,"1,772.90","1,773.81","1,773.81","1,720.14",0.51K,-0.05%,510
1/29/2021,"1,773.81","1,710.87","1,820.25","1,710.87",1.14K,3.68%,1140
1/28/2021,"1,710.87","1,600.20","1,710.87","1,600.20",0.65K,6.92%,650
1/27/2021,"1,600.20","1,727.22","1,727.22","1,600.20",1.16K,-7.35%,1160
1/26/2021,"1,727.22","1,686.85","1,727.22","1,639.56",1.58K,2.39%,1580
1/25/2021,"1,686.85","1,773.70","1,776.18","1,686.85",2.21K,-4.90%,2210
1/24/2021,"1,773.70","1,566.53","1,773.70","1,566.53",0.93K,13.22%,930
1/23/2021,"1,566.53","1,572.85","1,572.85","1,549.43",0.42K,-0.40%,420
1/22/2021,"1,572.85","1,418.91","1,572.85","1,418.91",2.12K,10.85%,2120
1/21/2021,"1,418.91","1,742.38","1,742.38","1,418.91",1.73K,-18.56%,1730
1/20/2021,"1,742.38","1,738.00","1,768.39","1,610.62",1.34K,0.01%,1340
1/19/2021,"1,742.22","1,605.42","1,764.00","1,605.42",3.66K,8.52%,3660
1/18/2021,"1,605.42","1,582.20","1,605.42","1,562.63",0.81K,1.47%,810
1/17/2021,"1,582.20","1,571.02","1,610.76","1,540.55",0.97K,0.71%,970
1/16/2021,"1,571.02","1,487.69","1,593.41","1,487.69",1.12K,5.60%,1120
1/15/2021,"1,487.69","1,550.00","1,550.00","1,464.04",1.23K,-4.02%,1230
1/14/2021,"1,550.00","1,449.77","1,575.53","1,400.00",2.11K,6.91%,2110
1/13/2021,"1,449.77","1,337.34","1,449.77","1,337.34",1.58K,8.41%,1580
1/12/2021,"1,337.34","1,398.95","1,471.33","1,337.34",1.68K,-4.40%,1680
1/11/2021,"1,398.95","1,575.00","1,575.00","1,236.11",4.37K,-11.27%,4370
1/10/2021,"1,576.67","1,625.40","1,694.21","1,576.67",2.83K,-3.00%,2830
1/9/2021,"1,625.40","1,541.62","1,625.40","1,541.62",1.67K,5.43%,1670
1/8/2021,"1,541.62","1,555.76","1,555.76","1,541.62",1.75K,-0.91%,1750
1/7/2021,"1,555.76","1,410.99","1,555.76","1,410.99",2.76K,10.26%,2760
1/6/2021,"1,410.99","1,349.98","1,410.99","1,349.98",1.77K,4.52%,1770
1/5/2021,"1,349.99","1,275.88","1,349.99","1,192.90",3.47K,7.36%,3470
1/4/2021,"1,257.42","1,194.86","1,288.00","1,184.30",3.38K,5.24%,3380
1/3/2021,"1,194.86",931.7,"1,194.86",931.7,3.64K,28.25%,3640
1/2/2021,931.7,912.83,962.92,912.83,0.87K,2.07%,870
1/1/2021,912.83,928.76,938.53,911.15,0.57K,-1.72%,570
12/31/2020,928.76,960.44,960.44,926.84,0.74K,-3.30%,740
12/30/2020,960.44,942.27,960.44,916.54,1.11K,1.93%,1110
12/29/2020,942.27,943.13,943.13,908.05,0.73K,-0.09%,730
12/28/2020,943.13,876.6,953.99,876.6,0.92K,7.59%,920
12/27/2020,876.6,821.84,885,821.84,1.77K,6.66%,1770
12/26/2020,821.84,812.07,821.84,812.07,0.52K,1.20%,520
12/25/2020,812.07,790.8,812.07,787.65,0.55K,2.69%,550
